ID_CLIENTE,GENERO_Male,ADULTO_MAYOR_1,CASADO_Yes,PERSONAS_A_CARGO_Yes,TIENE_TELEFONIA_Yes,VARIAS_LINEAS_No phone service,VARIAS_LINEAS_Yes,TIPO_INTERNET_Fiber optic,TIPO_INTERNET_No,SEGURIDAD_EN_LINEA_No internet service,SEGURIDAD_EN_LINEA_Yes,COPIA_DE_SEGURIDAD_No internet service,COPIA_DE_SEGURIDAD_Yes,PROTECCION_DISPOSITIVO_No internet service,PROTECCION_DISPOSITIVO_Yes,SOPORTE_TECNICO_No internet service,SOPORTE_TECNICO_Yes,SERVICIO_TV_No internet service,SERVICIO_TV_Yes,SERVICIOS_STREAMING_No internet service,SERVICIOS_STREAMING_Yes,PERIODO_CONTRATO_One year,PERIODO_CONTRATO_Two year,FACTURACION_ELECTRONICA_Yes,METODO_PAGO_Credit card (automatic),METODO_PAGO_Electronic check,METODO_PAGO_Mailed check,ABANDONO_Yes,MESES_COMO_CLIENTE,COBRO_MENSUAL
0420-BWTPW,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.45652173913043476,-0.8252069917203312
8229-BUJHX,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.9130434782608695,-0.9172033118675252
7449-HVPIV,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0.5652173913043478,0.36890524379024864
5504-WSIUR,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.8913043478260869,0.3661453541858327
8183-ONMXC,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.5869565217391305,0.19135234590616387
8466-PZBLH,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0.8260869565217391,0.6301747930082797
9614-RMGHA,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.782608695652174,0.3955841766329347
8735-IJJEG,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.32608695652173914,-0.37074517019319214
0564-MUUQK,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.1956521739130435,0.46274149034038653
5054-IEXZT,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.6086956521739131,0.09199632014719412
5834-ASPWA,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.6086956521739131,0.09383624655013816
0701-RFGFI,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.43478260869565216,0.46090156393744275
0019-EFAEP,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0.9347826086956522,0.5694572217111317
5619-PTMIK,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3695652173913043,-0.3173873045078196
3737-XBQDD,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.10869565217391304,0.2667893284268629
5882-CMAZQ,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.5217391304347826,-0.6642134314627415
5846-QFDFI,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.08695652173913043,0.3357865685372585
4445-KWOKW,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.2826086956521739,-0.18767249310027592
3511-APPBJ,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,-0.13043478260869565,0.5446182152713893
7967-HYCDE,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45652173913043476,0.006439742410303745
2430-RRYUW,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.8043478260869565,-0.28610855565777366
3948-XHGNA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.10869565217391304,-0.38270469181232747
3723-BFBGR,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.10869565217391304,-0.28610855565777366
0565-IYCGT,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0.8695652173913043,0.1517939282428703
5447-WZAFP,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0.5217391304347826,0.5510579576816929
5110-CHOPY,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.6739130434782609,-0.3081876724931002
5445-UTODQ,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,-0.4782608695652174,0.19779208831646736
4425-OWHWB,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,-0.1956521739130435,-0.9383624655013799
7892-QVYKW,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.13043478260869565,0.2805887764489421
9675-ICXCT,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0.9347826086956522,0.19227230910763576
1024-VRZHF,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.391304347826087,0.08463661453541875
4703-MQYKT,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,-0.17391304347826086,-0.9337626494940202
9497-QCMMS,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,-0.6086956521739131,0.42686292548298077
5692-ICXLW,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.043478260869565216,0.37442502299908026
0602-DDUML,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0.6086956521739131,-0.01103955841766319
2208-MPXIO,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.34782608695652173,-0.9264029438822448
1960-UYCNN,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.41304347826086957,0.4581416743330268
0348-SDKOL,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0.6304347826086957,0.5841766329346827
3190-FZATL,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.32608695652173914,-0.9273229070837166
7336-RLLRH,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,-0.043478260869565216,0.19319227230910765
4373-MAVJG,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-0.32608695652173914,0.37810487580496804
8901-HJXTF,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.3695652173913043,-0.7571297148114075
7710-JSYOA,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0.8695652173913043,0.42226310947562107
5419-KLXBN,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,-0.08695652173913043,0.3459061637534501
3424-NMNBO,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0.6304347826086957,0.7083716651333948
9885-MFVSU,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0.13043478260869565,-0.44158233670653163
4514-GFCFI,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,-0.2826086956521739,0.2649494020239192
0607-MVMGC,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0.34782608695652173,0.15455381784728622
3365-SAIGS,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-0.2608695652173913,0.24287028518859252
9828-AOQLM,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.6086956521739131,-0.45354185832566685
8022-BECSI,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,-0.15217391304347827,-0.9337626494940202
8000-REIQB,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.6086956521739131,-0.007359705611775373
9993-LHIEB,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0.8260869565217391,-0.04599816007359706
0266-CLZKZ,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0.8260869565217391,0.6494940202391907
7615-ESMYF,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,-0.5869565217391305,-0.4737810487580496
3858-VOBET,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.13043478260869565,0.08463661453541875
7020-OZKXZ,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.43478260869565216,0.09475620975161005
3977-QCRSL,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.5217391304347826,-0.9236430542778289
0017-DINOC,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0.5434782608695652,-0.46274149034038625
1447-PJGGA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0.6086956521739131,0.4581416743330268
8565-CLBZW,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,-0.10869565217391304,0.3587856485740571
9139-WQQDY,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0.43478260869565216,0.5538178472861087
0224-HJAPT,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5217391304347826,-0.42686292548298066
8086-OVPWV,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-0.5869565217391305,0.18123275068997258
9430-FRQOC,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,-0.5434782608695652,0.3081876724931003
7639-OPLNG,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0.8913043478260869,0.16375344986200563
3074-GQWYX,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.5217391304347826,0.10211591536338568
1492-QGCLU,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0.5217391304347826,0.2824287028518861
6845-RGTYS,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0.391304347826087,0.5225390984360627
7328-OWMOM,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0.043478260869565216,-0.9245630174793008
4418-LZMSV,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.34782608695652173,-0.1573137074517019
5155-AZQPB,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.021739130434782608,-0.3762649494020239
8861-HGGKB,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.41304347826086957,0.29622815087396526
1087-GRUYI,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.1956521739130435,-0.9190432382704692
7065-YUNRY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.6086956521739131,-0.46090156393744247
7694-VLBWQ,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0.8260869565217391,0.6209751609935603
2546-KZAAT,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0.5,0.09291628334866628
0181-RITDD,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0.717391304347826,0.6954921803127878
5989-PGKJB,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.2826086956521739,0.2925482980680774
4795-KTRTH,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.5217391304347826,0.19595216191352358
8272-ONJLV,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,-0.3695652173913043,0.46642134314627437
1488-PBLJN,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0.9347826086956522,0.8555657773689054
0308-GIQJT,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0.9130434782608695,0.6513339466421345
3778-FOAQW,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,-0.10869565217391304,-0.9236430542778289
4452-ROHMO,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,-0.30434782608695654,-0.9337626494940202
6481-OGDOO,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0.8260869565217391,0.3725850965961362
3090-LETTY,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5869565217391305,-0.17295308187672478
5349-AZPEW,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5217391304347826,-0.8334866605335787
3753-TSEMP,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,-0.30434782608695654,0.32750689972401126
8305-VHZBZ,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,-0.6086956521739131,-0.9227230910763569
9720-JJJOR,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.2608695652173913,-0.18491260349586014
8100-HZZLJ,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.30434782608695654,-0.11775528978840832
8775-ERLNB,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6086956521739131,0.07267709291628341
8309-IEYJD,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.6086956521739131,0.004599816007359706
9172-JITSM,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,-0.06521739130434782,0.376264949402024
6298-QDFNH,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.15217391304347827,0.1655933762649494
7398-HPYZQ,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0.9130434782608695,0.3716651333946643
3546-GHEAE,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,-0.4782608695652174,-0.936522539098436
7361-YPXFS,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.021739130434782608,-0.1085556577736889
6557-BZXLQ,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.2826086956521739,-0.012879484820606968
2550-QHZGP,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,-0.4782608695652174,-0.9356025758969642
7519-JTWQH,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0.8695652173913043,0.7387304507819689
2538-OIMXF,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.6086956521739131,-0.8399264029438822
8543-MSDMF,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,-0.5652173913043478,0.12971481140754393
9961-JBNMK,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.17391304347826086,0.48666053357865696
1170-SASML,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8695652173913043,0.2769089236430545
4872-JCVCA,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0.9130434782608695,-0.4185832566697331
5346-BZCHP,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0.8695652173913043,-0.937442502299908
2038-LLMLM,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0.41304347826086957,0.6163753449862006
6173-ITPWD,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.391304347826087,0.2391904323827047
9734-UYXQI,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.5869565217391305,-0.3854645814167433
1216-BGTSP,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0.34782608695652173,0.7010119595216193
4138-NAXED,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4782608695652174,0.19595216191352358
2189-UXTKY,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,-0.15217391304347827,0.16283348666053377
0744-BIKKF,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0.9347826086956522,0.29990800367985304
7483-IQWIB,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0.17391304347826086,0.4158233670653176
5248-KWLAR,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0.9130434782608695,0.3679852805887765
4958-GZWIY,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4782608695652174,-0.3983440662373504
7996-MHXLW,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0.8043478260869565,-0.8316467341306348
7833-PKIHD,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0.4782608695652174,0.11131554737810509
7061-OVMIM,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.021739130434782608,-0.9346826126954922
5153-RTHKF,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.10869565217391304,0.2759889604415824
1852-QSWCD,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0.7608695652173914,-0.8380864765409384
4832-VRBMR,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0.782608695652174,0.6034958601655936
9079-LWTFD,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.391304347826087,0.5593376264949403
6356-ELRKD,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,-0.6086956521739131,0.4645814167433303
8624-GIOUT,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.43478260869565216,-0.19503219871205144
3392-EHMNK,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0.8260869565217391,0.4369825206991721
5986-WWXDV,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.21739130434782608,-0.9383624655013799
3061-BCKYI,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.32608695652173914,-0.9282428702851886
6179-GJPSO,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0.30434782608695654,0.6954921803127878
7901-TBKJX,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0.5869565217391305,0.564857405703772
7228-PAQPD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,-0.32608695652173914,-0.20699172033118665
3177-LASXD,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.6086956521739131,0.018399264029438825
7746-QYVCO,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-0.2826086956521739,-0.2667893284268628
5804-HYIEZ,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.8913043478260869,0.6568537258509661
9919-FZDED,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0.9347826086956522,0.2529898804047838
5934-TSSAU,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-0.13043478260869565,0.09107635694572223
3486-KHMLI,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.17391304347826086,-0.8399264029438822
4897-QSUYC,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,-0.6086956521739131,-0.9236430542778289
1084-UQCHV,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6086956521739131,-0.01103955841766319
8290-YWKHZ,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0.06521739130434782,0.4204231830726773
2955-BJZHG,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,-0.2608695652173913,0.19319227230910765
3806-DXQOM,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.5434782608695652,-0.6752529898804048
6784-XYJAE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.15217391304347827,-0.26770929162833484
3933-DQPWX,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.45652173913043476,-0.5639374425022998
6661-EIPZC,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.41304347826086957,-0.7516099356025758
8957-THMOA,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.45652173913043476,-0.9236430542778289
2251-PYLPB,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0.9347826086956522,0.16927322907083725
5555-RNPGT,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,-0.41304347826086957,-0.8380864765409384
1057-FOGLZ,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.2391304347826087,-0.9328426862925483
9300-RENDD,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,-0.6086956521739131,0.17663293468261287
0761-AETCS,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,-0.6086956521739131,-0.939282428702852
8087-LGYHQ,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,-0.43478260869565216,0.4360625574977002
4137-BTIKL,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.5869565217391305,0.3753449862005521
2190-BCXEC,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.2391304347826087,0.15639374425023
6227-FBDXH,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0.8695652173913043,0.5363385464581418
2153-MREFK,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0.17391304347826086,0.5308187672493102
2911-WDXMV,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-0.2391304347826087,0.18767249310027606
7206-PQBBZ,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-0.391304347826087,-0.0027598896044156666
3106-ULWFW,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,-0.45652173913043476,0.2732290708371667
